timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
0,0,beacons3.gvt2.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
1721395532820,6,/hospital/index.php-89,200,OK,,text,true,,17354,546,0,0,http://10.0.0.5/hospital/index.php,5,0,1
0,0,beacons4.gvt2.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,beacons3.gvt2.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,fonts.googleapis.com:443,,"An established connection was aborted by the software in your host machine
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1775,0,0,0,null,0,0,0
0,0,beacons3.gvt2.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,beacons4.gvt2.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,beacons4.gvt2.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,content-autofill.googleapis.com:443,,"An established connection was aborted by the software in your host machine
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1775,0,0,0,null,0,0,0
1721396752278,30,/d/msdownload/update/others/2024/07/41624181_994126571ef70830f93f6d9c6bb54e5075a01d18.cab-1,200,OK,,text,true,,7608,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41624181_994126571ef70830f93f6d9c6bb54e5075a01d18.cab,29,0,23
1721396752453,7,/d/msdownload/update/others/2024/07/41624180_bd149536348a261bb17aabe62c5bd314aa8846a6.cab-2,200,OK,,text,true,,7608,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41624180_bd149536348a261bb17aabe62c5bd314aa8846a6.cab,7,0,4
1721396752475,6,/d/msdownload/update/others/2024/07/41623401_66ed8364ed6d3eac20ce0f27b8812a88e56d3fa7.cab-3,200,OK,,text,true,,7531,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623401_66ed8364ed6d3eac20ce0f27b8812a88e56d3fa7.cab,6,0,3
1721396752493,5,/d/msdownload/update/others/2024/07/41623400_8fffd43ce1931518d9086ab80257a7601fbad29c.cab-4,200,OK,,text,true,,7525,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623400_8fffd43ce1931518d9086ab80257a7601fbad29c.cab,5,0,2
